,npi
16904,1164515003
20698,1528088325
23816,1598714784
33226,1104898634
43578,1336246487
47843,1104898634
63511,1598714784
79745,1598714784
80634,1598718520
91160,1215941349
96739,1770542151
102337,1396744892
103019,1285725051
105549,1891803318
107134,1841322104
110065,1396744892
111053,1285663682
122672,1730231259
145862,1053360966
158088,1487629796
170048,1841322104
173721,1164436960
176398,1225111933
200249,1902916984
210411,1528088325
212984,1396744892
235491,1386670461
241935,1134280779
255727,1639363161
259583,1245210764
261754,1598714784
262304,1013009729
264012,1982609723
265637,1528093184
271425,1053486704
280150,1902874456
287460,1164515003
288155,1164436960
294209,1891803318
299996,1598714784
301839,1891803318
307404,1902916984
309795,1639395395
324949,1487889036
326973,1164515003
328377,1417008756
330981,1639395395
332248,1336186600
352290,1104898634
357105,1053360966
357384,1770542151
370258,1598714784
376388,1790785277
393940,1164515003
408686,1730231259
411897,1396744892
418523,1902916984
425517,1982609723
429184,1245210764
438210,1598714784
450755,1104898634
454023,1376550442
463897,1891803318
464461,1528088325
471873,1346207776
473538,1891803318
477013,1891803318
479553,1982609723
480523,1073511192
487576,1902916984
492975,1245210764
493159,1598714784
493832,1376550442
501018,1336186600
505034,1164515003
513225,1841322104
514653,1245210764
515766,1538237482
521140,1134280779
523982,1902916984
532556,1598714784
536375,1346207776
561301,1033126651
562299,1134280779
569412,1164515003
575743,1598714784
585952,1396744892
587372,1053486704
589056,1639395395
589988,1336186600
603015,1891803318
614376,1891803318
616409,1396744892
633841,1053360966
634185,1245210764
636192,1376550442
647854,1164515003
649307,1336186600
661556,1598714784
666792,1417008756
669975,1528088325
670674,1770542151
671177,1336186600
674339,1598714784
690596,1598714784
701033,1013009729
704119,1891803318
712277,1417008756
717987,1386670461
728354,1164436960
732155,1396744892
736239,1720101900
738495,1952395881
741369,1164515003
746772,1841322104
750704,1891803318
758014,1891803318
758546,1598718520
764404,1164436960
788803,1770542151
791933,1598714784
798689,1386670461
802098,1013009729
815604,1598714784
828801,1528088325
830800,1639395395
834113,1598718520
838566,1841322104
850330,1013009729
865904,1538237482
867454,1598714784
870074,1386670461
878156,1164436960
883566,1104898634
902577,1417008756
904331,1134280779
905436,1306895578
915101,1285725051
924343,1770542151
931649,1285663682
931766,1386670461
939505,1346207776
939929,1770542151
945241,1902916984
947164,1376550442
949801,1962594895
952224,1982609723
956306,1538237482
957871,1467474882
963108,1164436960
964708,1467519124
969567,1972554228
972760,1891803318
980594,1003892746
982077,1346345071
985816,1891803318
985920,1639395395
988384,1245210764
988405,1902916984
989902,1285663682
1003938,1598714784
1007510,1902916984
1008001,1598714784
1018783,1831339902
1027159,1770542151
1049337,1417008756
1052442,1497745905
1055875,1215941349
1056172,1336186600
1065822,1164436960
1073709,1336186600
1077550,1104898634
1092876,1164436960
1106188,1205023512
1111068,1598714784
1111508,1467519124
1112578,1538237482
1130327,1770542151
1140231,1902916984
1142955,1053360966
1146227,1386670461
1151117,1164515003
1151905,1245210764
1158225,1598714784
1160823,1104898634
1170174,1386670461
1174935,1053360966
1179782,1467474882
1183243,1104898634
1195398,1881615268
1205655,1376550442
1206924,1285663682
1217144,1467519124
1223454,1770542151
1226044,1013009729
1229614,1962594895
1232020,1134280779
1235442,1104898634
1236575,1598714784
1247630,1902916984
1253140,1164436960
1261663,1639395395
1267024,1417008756
1292360,1053360966
1293509,1922005321
1306581,1467519124
1310260,1417008756
1319015,1093726556
1327933,1386670461
1331960,1598714784
1332251,1720101900
1340167,1386670461
1342710,1295705291
1350382,1417008756
1358947,1396744892
1360537,1538237482
1363388,1770542151
1364783,1972554228
1380361,1467519124
1385482,1447327952
1391233,1164436960
1397583,1396744892
1401514,1245210764
1402926,1013009729
1405380,1902916984
1406932,1013009729
1420870,1164436960
1423454,1013009729
1426851,1134280779
1429121,1891803318
1431628,1598714784
1440704,1528088325
1443724,1053486704
1448065,1598714784
1460734,1467474882
1471135,1053360966
1473642,1164436960
1475208,1487629796
1482766,1285663682
1489883,1841322104
1490675,1467474882
1497934,1417008756
1504487,1841322104
1548891,1902916984
1566260,1285725051
1573184,1548441058
1576179,1770542151
1576832,1134280779
1615515,1467519124
1630048,1417008756
1630344,1164436960
1642879,1679749188
1648429,1841322104
1657158,1841322104
1658012,1902916984
1665378,1336186600
1669539,1003892746
1670307,1164515003
1682352,1104898634
1694564,1982609723
1697010,1538237482
1699138,1770542151
1702250,1285725051
1706650,1598714784
1734851,1013009729
1745833,1417008756
1755916,1164436960
1756912,1053360966
1761557,1770542151
1762263,1598718520
1800125,1386670461
1802517,1235211095
1818244,1467474882
1829356,1770542151
1836571,1487629796
1837229,1235200775
1843158,1164515003
1844256,1215941349
1882900,1316073455
1883502,1336186600
1894152,1134280779
1905896,1598714784
1917079,1093726556
1921928,1275748675
1931419,1639395395
1950708,1386670461
1955710,1891803318
1962380,1285725051
1963861,1639395395
1970881,1417008756
1981374,1639395395
1994689,1720101900
2001029,1598714784
2011951,1053360966
2020354,1467474882
2032352,1417008756
2036391,1134280779
2038753,1104898634
2050527,1720101900
2065490,1013009729
2077961,1003892746
2079718,1598714784
2079783,1164515003
2098860,1891803318
2102428,1306906854
2111468,1598714784
2117456,1841322104
2122004,1376550442
2123684,1336186600
2144819,1104898634
2155129,1891803318
2160275,1598714784
2163023,1891803318
2163700,1104898634
2169736,1891803318
2177350,1598714784
2177376,1497745905
2178601,1376550442
2185832,1841322104
2194726,1891803318
2198121,1164436960
2202316,1104898634
2218709,1417008756
2221922,1497749089
2224558,1215941349
2229606,1598714784
2231461,1831339902
2235545,1891803318
2244580,1073511192
2245073,1336186600
2249041,1336186600
2256785,1639395395
2278291,1164436960
2284002,1487629796
2290112,1164515003
2297812,1528093184
2303698,1285725051
2304060,1376550442
2332318,1104898634
2334225,1841322104
2349834,1104898634
2352412,1164436960
2354329,1730231259
2355690,1891803318
2356076,1902916984
2364441,1598714784
2375217,1013009729
2392930,1487629796
2405463,1598714784
2409497,1891803318
2425211,1770542151
2428549,1164515003
2430208,1720101900
2434278,1215941349
2442415,1386670461
2444887,1982609723
2449804,1003892746
2455859,1104898634
2458426,1770542151
2470103,1467474882
2488608,1770542151
2490385,1003892746
2494040,1598714784
2501754,1831339902
2502859,1891803318
2513493,1164436960
2520054,1346207776
2522079,1003892746
2526733,1972554228
2529126,1417008756
2539016,1285663682
2542504,1972554228
2554244,1487629796
2556844,1891803318
2561282,1821037094
2563604,1598714784
2569379,1528390259
2571376,1013009729
2575407,1417008756
2585300,1598714784
2590240,1013009729
2590608,1982609723
2613581,1598714784
2622406,1386670461
2626614,1770542151
2629596,1285663682
2639608,1487629796
2646367,1013009729
2651702,1164436960
2654189,1417008756
2659062,1891803318
2666577,1417008756
2678786,1891803318
2691063,1467519124
2692589,1003892746
2700114,1881782373
2749382,1639395395
2761255,1013009729
2769657,1417008756
2771867,1285663682
2772249,1164515003
2780088,1467474882
2783941,1235200775
2785400,1891803318
2808582,1598718520
2814207,1104898634
2816539,1770542151
2827740,1770542151
2828846,1598718520
2832953,1104898634
2839146,1639395395
2840083,1386670461
2844447,1164436960
2854456,1376550442
2855745,1487889036
2876661,1538237482
2905413,1134280779
2909020,1396744892
2921622,1891803318
2923223,1417008756
2925115,1245210764
2939255,1295705291
2944835,1164436960
2951232,1285663682
2957360,1053360966
2957390,1134280779
2960730,1831339902
2972530,1548441058
2975565,1386670461
2976583,1285663682
2977946,1134280779
2984329,1336186600
2995200,1538237482
3015371,1386670461
3026769,1962594895
3028660,1346207776
3030795,1386670461
3044741,1528390259
3049929,1891803318
3057190,1053360966
3062171,1104898634
3080934,1891803318
3091318,1891803318
3097063,1285663682
3102905,1053360966
3105185,1215941349
3108641,1902916984
3114444,1982609723
3120421,1154471621
3121725,1053360966
3123423,1225111933
3128676,1982609723
3131617,1336186600
3138869,1639395395
3141131,1972554228
3153163,1497745905
3176963,1013009729
3187853,1164515003
3189644,1770542151
3194550,1598714784
3207659,1982609723
3208438,1134280779
3218054,1467519124
3226461,1497745905
3238071,1104898634
3246278,1285725051
3263750,1891803318
3264944,1467519124
3272186,1396744892
3277251,1902874456
3278640,1902916984
3285180,1730231259
3292540,1902916984
3303632,1770542151
3311407,1346207776
3322150,1497745905
3322536,1164515003
3333065,1972554228
3340612,1841322104
3346923,1134280779
3349510,1598714784
3351288,1346207776
3351777,1598714784
3351932,1013009729
3352374,1396744892
3354091,1487629796
3355029,1306867742
3387970,1386670461
3395364,1891803318
3403039,1346207776
